username,timestamp,ip_address,status
alice,2024-03-10 08:15:00,192.168.1.1,FAILED
alice,2024-03-10 08:16:00,192.168.1.1,FAILED
alice,2024-03-10 08:17:00,192.168.1.1,FAILED
alice,2024-03-10 08:18:00,192.168.1.1,FAILED
alice,2024-03-10 09:00:00,192.168.1.1,SUCCESS
bob,2024-03-10 02:10:00,10.0.0.5,SUCCESS
bob,2024-03-10 02:45:00,10.0.0.5,SUCCESS
bob,2024-03-10 23:50:00,10.0.0.5,SUCCESS
charlie,2024-03-10 10:00:00,192.168.1.2,SUCCESS
charlie,2024-03-10 10:30:00,10.0.0.8,SUCCESS
charlie,2024-03-10 11:00:00,172.16.0.3,SUCCESS
charlie,2024-03-10 11:30:00,192.168.5.5,SUCCESS
charlie,2024-03-10 12:00:00,10.10.10.1,SUCCESS
diana,2024-03-10 09:00:00,192.168.1.4,SUCCESS
diana,2024-03-10 11:00:00,192.168.1.4,SUCCESS
diana,2024-03-10 14:00:00,192.168.1.4,SUCCESS
eve,2024-03-10 03:15:00,172.16.0.1,FAILED
eve,2024-03-10 03:16:00,172.16.0.1,FAILED
eve,2024-03-10 03:17:00,172.16.0.2,FAILED
eve,2024-03-10 03:18:00,10.0.0.9,FAILED
frank,2024-03-10 10:00:00,192.168.1.5,SUCCESS
frank,2024-03-10 10:05:00,192.168.1.5,FAILED
frank,2024-03-10 10:06:00,192.168.1.5,FAILED
grace,2024-03-10 08:30:00,192.168.1.6,SUCCESS
grace,2024-03-10 12:00:00,192.168.1.6,SUCCESS
henry,2024-03-10 22:55:00,10.0.0.3,SUCCESS
henry,2024-03-10 23:45:00,10.0.0.3,FAILED
henry,2024-03-10 23:50:00,10.0.0.3,FAILED
irene,2024-03-10 09:15:00,192.168.1.9,SUCCESS
irene,2024-03-10 15:30:00,192.168.1.9,SUCCESS
